STUSPS	NAME	INTPTLONG	INTPTLAT
GA	Arlington city	-84.725431	31.437921
GA	Arnoldsville city	-83.219641	33.911283
GA	Ashburn city	-83.652424	31.709191
GA	Athens-Clarke County unified government (balance)	-83.370088	33.949597
GA	Atlanta city	-84.422675	33.762909
GA	Attapulgus city	-84.483886	30.74949
GA	Auburn city	-83.830907	34.01635
GA	Augusta-Richmond County consolidated government (balance)	-82.073422	33.365531
GA	Austell city	-84.644267	33.820281
GA	Avalon town	-83.198203	34.497142
GA	Avera city	-82.528732	33.193423
GA	Avondale Estates city	-84.264735	33.768731
GA	Baconton city	-84.159185	31.380379
GA	Bainbridge city	-84.573047	30.904933
GA	Baldwin city	-83.547939	34.487341
GA	Ball Ground city	-84.36043	34.342133
GA	Barnesville city	-84.152582	33.052217
GA	Bartow town	-82.472328	32.881217
GA	Barwick city	-83.739187	30.893604
GA	Baxley city	-82.35014	31.764019
GA	Bellville city	-81.978229	32.155023
GA	Berkeley Lake city	-84.183811	33.986339
GA	Berlin city	-83.623513	31.067483
GA	Bethlehem town	-83.710292	33.936262
GA	Between town	-83.802518	33.818285
GA	Bishop town	-83.438159	33.818727
GA	Blackshear city	-82.243468	31.29937
GA	Blairsville city	-83.95466	34.875666
GA	Blakely city	-84.927037	31.380939
GA	Bloomingdale city	-81.308065	32.124496
GA	Blue Ridge city	-84.323386	34.865798
GA	Bluffton town	-84.869119	31.519818
GA	Blythe city	-82.205381	33.301437
GA	Bogart town	-83.533749	33.947625
GA	Boston city	-83.789352	30.791208
GA	Bostwick city	-83.5139	33.737696
GA	Bowdon city	-85.253976	33.537837
GA	Bowersville town	-83.083202	34.37245
GA	Bowman city	-83.031139	34.205388
GA	Braselton town	-83.815783	34.111046
GA	Braswell town	-84.9584	33.983545
GA	Bremen city	-85.151884	33.710775
GA	Brinson town	-84.737945	30.978442
GA	Bronwood town	-84.364332	31.830545
GA	Brooklet city	-81.669966	32.389099
GA	Brooks town	-84.451081	33.29159
GA	Broxton city	-82.887468	31.625133
GA	Brunswick city	-81.466915	31.13617
GA	Buchanan city	-85.183348	33.805686
GA	Buckhead town	-83.361235	33.568403
GA	Buena Vista city	-84.517567	32.318497
GA	Buford city	-83.991829	34.120015
GA	Butler city	-84.23733	32.557194
GA	Byromville town	-83.907239	32.201633
GA	Byron city	-83.748494	32.648102
GA	Cadwell town	-83.040768	32.339648
GA	Cairo city	-84.204924	30.879251
GA	Calhoun city	-84.94508	34.483191
GA	Camak town	-82.649524	33.450759
GA	Camilla city	-84.206523	31.236152
GA	Canon city	-83.111768	34.341681
GA	Canton city	-84.490723	34.247201
GA	Carl town	-83.816875	34.005598
GA	Carlton city	-83.040753	34.041178
GA	Carnesville city	-83.231814	34.373388
GA	Carrollton city	-85.083333	33.581847
GA	Cartersville city	-84.800415	34.162947
GA	Cave Spring city	-85.339779	34.105302
GA	Cecil city	-83.390945	31.046577
GA	Cedartown city	-85.247531	34.021749
GA	Centerville city	-83.685643	32.632978
GA	Centralhatchee town	-85.104356	33.367964
GA	Chamblee city	-84.303623	33.888666
GA	Chatsworth city	-84.782287	34.78107
GA	Chattahoochee Hills city	-84.755446	33.560555
GA	Chauncey city	-83.064919	32.106621
GA	Chester town	-83.155682	32.394447
GA	Chickamauga city	-85.289665	34.873966
GA	Clarkesville city	-83.52747	34.609289
GA	Clarkston city	-84.240867	33.810829
GA	Claxton city	-81.909666	32.162106
GA	Clayton city	-83.401528	34.87788
GA	Clermont town	-83.770407	34.480138
GA	Cleveland city	-83.761058	34.598298
GA	Climax city	-84.431203	30.875632
GA	Cobbtown city	-82.138334	32.279222
GA	Cochran city	-83.352288	32.387446
GA	Cohutta city	-84.960188	34.956527
GA	Colbert city	-83.213102	34.037244
GA	College Park city	-84.46008	33.638149
GA	Collins city	-82.109874	32.179214
GA	Colquitt city	-84.732379	31.173215
GA	Columbus city	-84.874946	32.510197
GA	Comer city	-83.12732	34.062463
GA	Commerce city	-83.475597	34.214494
GA	Concord city	-84.437752	33.092042
GA	Conyers city	-83.982361	33.656626
GA	Coolidge city	-83.866476	31.010769
GA	Cordele city	-83.770077	31.95609
GA	Cornelia city	-83.531473	34.516629
GA	Covington city	-83.847436	33.605079
GA	Crawford city	-83.15539	33.883227
GA	Crawfordville city	-82.896695	33.554641
GA	Culloden city	-84.093999	32.864908
GA	Cumming city	-84.133571	34.207649
GA	Cusseta-Chattahoochee County unified government	-84.788021	32.347445
GA	Cuthbert city	-84.793575	31.770686
GA	Dacula city	-83.889263	33.981287
GA	Dahlonega city	-83.979583	34.529916
GA	Daisy city	-81.83474	32.151684
GA	Dallas city	-84.842533	33.914433
GA	Dalton city	-84.97042	34.769222
GA	Damascus city	-84.717195	31.298515
GA	Danielsville city	-83.220712	34.123361
GA	Danville town	-83.246057	32.606013
GA	Darien city	-81.424103	31.343489
GA	Dasher town	-83.222428	30.742096
GA	Davisboro city	-82.603571	32.981412
GA	Dawson city	-84.443499	31.771864
GA	Dawsonville city	-84.124143	34.433159
GA	Dearing town	-82.386483	33.415187
GA	Decatur city	-84.297857	33.771455
GA	Deepstep town	-82.967431	33.016115
GA	Demorest city	-83.542311	34.563531
GA	Denton city	-82.692237	31.72013
GA	De Soto city	-84.063639	31.95479
GA	Dexter town	-83.059134	32.433195
GA	Dillard city	-83.380008	34.974505
GA	Doerun city	-83.916532	31.322799
GA	Donalsonville city	-84.878424	31.039692
GA	Dooling town	-83.928924	32.229976
GA	Doraville city	-84.274921	33.906748
GA	Douglas city	-82.854287	31.507435
GA	Douglasville city	-84.707237	33.738328
GA	Dublin city	-82.928254	32.536565
GA	Dudley city	-83.083619	32.533483
GA	Duluth city	-84.150473	34.001517
GA	Dunwoody city	-84.312701	33.941387
GA	Du Pont town	-82.869085	30.989096
GA	East Dublin city	-82.864073	32.550373
GA	East Ellijay city	-84.472105	34.679348
GA	Eastman city	-83.175692	32.194858
GA	East Point city	-84.47036	33.66946
GA	Eatonton city	-83.388862	33.325822
GA	Edge Hill city	-82.624989	33.153421
GA	Edison city	-84.737402	31.560812
GA	Elberton city	-82.872634	34.106786
GA	Ellaville city	-84.309114	32.237662
GA	Ellenton town	-83.587067	31.176703
GA	Ellijay city	-84.48392	34.691324
GA	Emerson city	-84.745107	34.131499
GA	Enigma town	-83.320005	31.401403
GA	Ephesus city	-85.259598	33.407009
GA	Eton city	-84.76678	34.826598
GA	Euharlee city	-84.932752	34.143586
GA	Fairburn city	-84.58603	33.550538
GA	Fairmount city	-84.69954	34.436996
GA	Fargo city	-82.571527	30.686814
GA	Fayetteville city	-84.457806	33.449599
GA	Fitzgerald city	-83.252232	31.714253
GA	Flemington city	-81.562784	31.850447
GA	Flovilla city	-83.902906	33.252407
GA	Flowery Branch city	-83.921884	34.181765
GA	Folkston city	-82.007248	30.839249
GA	Forest Park city	-84.358165	33.620543
GA	Forsyth city	-83.938062	33.034543
GA	Fort Gaines city	-85.054801	31.624762
GA	Fort Oglethorpe city	-85.246031	34.931838
GA	Fort Valley city	-83.879939	32.551114
GA	Franklin city	-85.0979	33.278727
GA	Franklin Springs city	-83.146091	34.283361
GA	Funston city	-83.881135	31.195924
GA	Gainesville city	-83.829893	34.289658
GA	Garden City city	-81.176614	32.087221
GA	Garfield city	-82.097291	32.649211
GA	Gay town	-84.575203	33.089692
GA	Geneva town	-84.553184	32.578179
GA	Georgetown-Quitman County unified government	-85.009317	31.861487
GA	Gibson city	-82.598453	33.232013
GA	Gillsville city	-83.639627	34.308109
GA	Girard town	-81.715514	33.033888
GA	Glennville city	-81.930515	31.939084
GA	Glenwood city	-82.670836	32.180301
GA	Good Hope city	-83.617238	33.790031
GA	Gordon city	-83.333588	32.886191
GA	Graham city	-82.502763	31.828465
GA	Grantville city	-84.827997	33.238159
GA	Gray city	-83.538428	33.001223
GA	Grayson city	-83.956743	33.890694
GA	Greensboro city	-83.186035	33.570499
GA	Greenville city	-84.715839	33.031333
GA	Griffin city	-84.276676	33.241252
GA	Grovetown city	-82.206722	33.449451
GA	Gumbranch city	-81.6839	31.835735
GA	Guyton city	-81.390385	32.33227
GA	Hagan city	-81.930025	32.153028
GA	Hahira city	-83.381447	30.996473
GA	Hamilton city	-84.876039	32.764515
GA	Hampton city	-84.293815	33.385614
GA	Hapeville city	-84.409321	33.660873
GA	Haralson town	-84.56871	33.22935
GA	Harlem city	-82.313907	33.415514
GA	Harrison town	-82.725838	32.826414
GA	Hartwell city	-82.92802	34.349645
GA	Hawkinsville city	-83.478964	32.299649
GA	Hazlehurst city	-82.599276	31.864129
GA	Helen city	-83.721364	34.70431
GA	Helena city	-82.910156	32.079038
GA	Hephzibah city	-82.095357	33.292769
GA	Hiawassee city	-83.746341	34.946198
GA	Higgston town	-82.464942	32.216066
GA	Hiltonia town	-81.661487	32.883339
GA	Hinesville city	-81.621675	31.826979
GA	Hiram city	-84.7568	33.893091
GA	Hoboken city	-82.130901	31.180473
GA	Hogansville city	-84.902788	33.166986
GA	Holly Springs city	-84.484445	34.167602
GA	Homeland city	-82.020802	30.860145
GA	Homer town	-83.494781	34.337956
GA	Homerville city	-82.742089	31.038228
GA	Hoschton city	-83.761153	34.09387
GA	Hull city	-83.29364	34.017583
GA	Ideal city	-84.189014	32.372878
GA	Ila city	-83.293109	34.173667
GA	Iron City town	-84.813313	31.013583
GA	Irwinton city	-83.173696	32.810758
GA	Ivey city	-83.299847	32.909928
GA	Jackson city	-83.968077	33.290355
GA	Jacksonville city	-82.978703	31.812732
GA	Jakin city	-84.982261	31.090055
GA	Jasper city	-84.435863	34.466199
GA	Jefferson city	-83.601579	34.135486
GA	Jeffersonville city	-83.342642	32.686281
GA	Jenkinsburg city	-84.038407	33.322807
GA	Jersey city	-83.804185	33.717171
GA	Jesup city	-81.888783	31.60002
GA	Johns Creek city	-84.203848	34.032739
GA	Jonesboro city	-84.354314	33.520245
GA	Junction City town	-84.458198	32.603622
GA	Kennesaw city	-84.618878	34.028678
GA	Keysville city	-82.229326	33.236189
GA	Kingsland city	-81.791078	30.845932
GA	Kingston city	-84.944493	34.231972
GA	Kite city	-82.512434	32.691521
GA	LaFayette city	-85.28153	34.708654
GA	LaGrange city	-85.03787	33.030397
GA	Lake City city	-84.341101	33.606465
GA	Lakeland city	-83.07473	31.040817
GA	Lake Park city	-83.187687	30.684696
GA	Lavonia city	-83.108872	34.434653
GA	Lawrenceville city	-83.992234	33.952879
GA	Leary city	-84.511733	31.484384
GA	Leesburg city	-84.168546	31.732058
GA	Lenox town	-83.468213	31.265321
GA	Leslie city	-84.087064	31.954799
GA	Lexington city	-83.110154	33.870069
GA	Lilburn city	-84.136872	33.89064
GA	Lilly city	-83.877464	32.146535
GA	Lincolnton city	-82.478438	33.792714
GA	Lithonia city	-84.105877	33.712938
GA	Locust Grove city	-84.104378	33.342648
GA	Loganville city	-83.894782	33.835977
GA	Lone Oak town	-84.817331	33.172352
GA	Lookout Mountain city	-85.362195	34.966412
GA	Louisville city	-82.400142	32.996099
GA	Lovejoy city	-84.318993	33.444208
GA	Ludowici city	-81.74941	31.707526
GA	Lula city	-83.664306	34.395901
GA	Lumber City city	-82.683197	31.933052
GA	Lumpkin city	-84.798145	32.048041
GA	Luthersville city	-84.744302	33.209626
GA	Lyerly town	-85.404092	34.403432
GA	Lyons city	-82.321208	32.204915
GA	McCaysville city	-84.371188	34.981962
GA	McDonough city	-84.150908	33.441285
GA	McIntyre town	-83.200907	32.846862
GA	Macon city	-83.648918	32.830953
GA	McRae city	-82.886837	32.056192
GA	Madison city	-83.475972	33.579038
GA	Manassas city	-82.024037	32.161123
GA	Manchester city	-84.634374	32.859058
GA	Mansfield city	-83.736169	33.516585
GA	Marietta city	-84.542463	33.953561
GA	Marshallville city	-83.939765	32.458563
GA	Martin town	-83.197053	34.486476
GA	Maxeys town	-83.172638	33.754914
GA	Maysville town	-83.553095	34.254963
GA	Meansville city	-84.31045	33.051472
GA	Meigs city	-84.092679	31.071798
GA	Menlo city	-85.477611	34.483491
GA	Metter city	-82.062596	32.396607
GA	Midville city	-82.235266	32.821272
GA	Midway city	-81.416664	31.801003
GA	Milan city	-83.062826	32.019285
GA	Milledgeville city	-83.241149	33.088338
GA	Millen city	-81.942039	32.806892
GA	Milner city	-84.190828	33.115542
GA	Milton city	-84.314522	34.144137
GA	Mitchell town	-82.701246	33.221712
GA	Molena city	-84.500044	33.010444
GA	Monroe city	-83.718741	33.797477
GA	Montezuma city	-84.019733	32.297498
GA	Monticello city	-83.684868	33.307655
GA	Montrose town	-83.153151	32.55923
GA	Moreland town	-84.768752	33.285515
GA	Morgan city	-84.603238	31.538097
GA	Morganton city	-84.243329	34.87571
GA	Morrow city	-84.336063	33.57884
GA	Morven city	-83.499976	30.943977
GA	Moultrie city	-83.790786	31.179431
GA	Mountain City town	-83.381112	34.921514
GA	Mountain Park city	-84.413635	34.083035
GA	Mount Airy town	-83.49767	34.523306
GA	Mount Vernon city	-82.596596	32.185238
GA	Mount Zion city	-85.180998	33.642561
GA	Nahunta city	-81.981216	31.206217
GA	Nashville city	-83.2485	31.2045
GA	Nelson city	-84.371586	34.379569
GA	Newborn town	-83.695737	33.516081
GA	Newington town	-81.505994	32.58916
GA	Newnan city	-84.771315	33.379147
GA	Newton city	-84.339469	31.316751
GA	Nicholls city	-82.638333	31.518855
GA	Nicholson city	-83.425088	34.116625
GA	Norcross city	-84.210556	33.940136
GA	Norman Park city	-83.684531	31.26902
GA	North High Shoals town	-83.501647	33.828754
GA	Norwood city	-82.705957	33.462697
GA	Nunez city	-82.346673	32.491973
GA	Oak Park town	-82.324593	32.364204
GA	Oakwood city	-83.885453	34.222241
GA	Ochlocknee town	-84.050639	30.975437
GA	Ocilla city	-83.249809	31.598633
GA	Oconee city	-82.957675	32.853453
GA	Odum city	-82.024116	31.671838
GA	Offerman city	-82.113349	31.408887
GA	Oglethorpe city	-84.062807	32.293176
GA	Oliver city	-81.536264	32.523079
GA	Omega city	-83.593724	31.338958
GA	Orchard Hill town	-84.212038	33.185158
GA	Oxford city	-83.872326	33.628385
GA	Palmetto city	-84.669607	33.532652
GA	Parrott town	-84.511756	31.894383
GA	Patterson city	-82.13543	31.384904
GA	Pavo city	-83.739334	30.95937
GA	Payne city	-83.679411	32.851838
GA	Peachtree City city	-84.570611	33.391884
GA	Pearson city	-82.853957	31.29721
GA	Pelham city	-84.151545	31.126568
GA	Pembroke city	-81.616904	32.144519
GA	Pendergrass town	-83.685123	34.162191
GA	Perry city	-83.726245	32.472008
GA	Pinehurst city	-83.759519	32.196213
GA	Pine Lake city	-84.205837	33.790707
GA	Pine Mountain town	-84.851631	32.852005
GA	Pineview town	-83.50887	32.10428
GA	Pitts city	-83.541757	31.946184
GA	Plains city	-84.394528	32.03307
GA	Plainville city	-85.031489	34.405265
GA	Pooler city	-81.254989	32.101858
GA	Portal town	-81.929588	32.539684
GA	Porterdale city	-83.89478	33.573771
GA	Port Wentworth city	-81.205281	32.192195
GA	Poulan city	-83.78982	31.514506
GA	Powder Springs city	-84.683974	33.865658
GA	Pulaski town	-81.953865	32.390335
GA	Quitman city	-83.560537	30.784582
GA	Ranger town	-84.711067	34.501261
GA	Ray City city	-83.196853	31.075655
GA	Rayle town	-82.908545	33.791336
GA	Rebecca town	-83.487577	31.807226
GA	Register town	-81.888233	32.369556
GA	Reidsville city	-82.124215	32.087052
GA	Remerton city	-83.308928	30.843788
GA	Rentz city	-82.991818	32.382887
GA	Resaca town	-84.943786	34.579203
GA	Rest Haven town	-83.975821	34.132328
GA	Reynolds city	-84.094363	32.560478
GA	Rhine town	-83.200435	31.989315
GA	Riceboro city	-81.442338	31.724415
GA	Richland city	-84.662001	32.088762
GA	Richmond Hill city	-81.308908	31.934092
GA	Riddleville town	-82.664984	32.902739
GA	Rincon town	-81.235708	32.293954
GA	Ringgold city	-85.120209	34.914979
GA	Riverdale city	-84.410965	33.563863
GA	Riverside town	-83.804421	31.17855
GA	Roberta city	-84.010381	32.719776
GA	Rochelle city	-83.456882	31.948766
GA	Rockmart city	-85.043411	34.008245
GA	Rocky Ford town	-81.835465	32.663507
GA	Rome city	-85.187533	34.26774
GA	Roopville town	-85.130407	33.456639
GA	Rossville city	-85.289567	34.975773
GA	Roswell city	-84.350946	34.039453
GA	Royston city	-83.109541	34.285697
GA	Rutledge city	-83.609698	33.625655
GA	St. Marys city	-81.572684	30.754165
GA	Sale City city	-84.020816	31.262925
GA	Sandersville city	-82.809694	32.982089
GA	Sandy Springs city	-84.368673	33.931502
GA	Santa Claus city	-82.329889	32.170497
GA	Sardis city	-81.76151	32.975073
GA	Sasser town	-84.347765	31.719916
GA	Savannah city	-81.153557	32.002512
GA	Scotland city	-82.818479	32.047572
GA	Screven city	-82.016879	31.484153
GA	Senoia city	-84.554099	33.314103
GA	Shady Dale town	-83.587246	33.401492
GA	Sharon city	-82.795437	33.562681
GA	Sharpsburg town	-84.647774	33.341377
GA	Shellman city	-84.616305	31.757055
GA	Shiloh city	-84.698708	32.81158
GA	Siloam town	-83.0848	33.540942
GA	Sky Valley city	-83.326958	34.986049
GA	Smithville city	-84.255175	31.901101
GA	Smyrna city	-84.51534	33.864424
GA	Snellville city	-84.004816	33.857634
GA	Social Circle city	-83.713441	33.648134
GA	Soperton city	-82.594019	32.378268
GA	Sparks town	-83.441048	31.169339
GA	Sparta city	-82.969815	33.277912
GA	Springfield city	-81.307867	32.364138
GA	Stapleton city	-82.467241	33.216889
GA	Statesboro city	-81.774515	32.441243
GA	Statham city	-83.603659	33.962913
GA	Stillmore city	-82.214484	32.441609
GA	Stockbridge city	-84.257522	33.543235
GA	Stone Mountain city	-84.17142	33.804188
GA	Sugar Hill city	-84.042347	34.097574
GA	Summertown city	-82.276859	32.745239
GA	Summerville city	-85.349072	34.478751
GA	Sumner town	-83.735922	31.509885
GA	Sunny Side city	-84.291719	33.343226
GA	Surrency town	-82.197823	31.721916
GA	Suwanee city	-84.066444	34.048632
GA	Swainsboro city	-82.334784	32.585588
GA	Sycamore city	-83.634932	31.670456
GA	Sylvania city	-81.640682	32.747181
GA	Sylvester city	-83.836457	31.52983
GA	Talbotton city	-84.54065	32.677248
GA	Talking Rock town	-84.494087	34.527651
GA	Tallapoosa city	-85.287358	33.736656
GA	Tallulah Falls town	-83.377057	34.721113
GA	Talmo town	-83.717912	34.184042
GA	Tarrytown town	-82.560783	32.318604
GA	Taylorsville town	-84.985629	34.085129
GA	Temple city	-85.027295	33.733245
GA	Tennille city	-82.813233	32.936563
GA	Thomaston city	-84.326691	32.891673
GA	Thomasville city	-83.978781	30.839422
GA	Thomson city	-82.49443	33.466764
GA	Thunderbolt town	-81.049604	32.031288
GA	Tifton city	-83.520494	31.4621
GA	Tiger town	-83.432562	34.846066
GA	Tignall town	-82.742146	33.866962
GA	Toccoa city	-83.32622	34.580656
GA	Toomsboro city	-83.082637	32.822373
GA	Trenton city	-85.509648	34.874149
GA	Trion town	-85.310769	34.548418
GA	Tunnel Hill city	-85.036778	34.855413
GA	Turin town	-84.636927	33.327296
GA	Twin City city	-82.159372	32.58223
GA	Tybee Island city	-80.857286	32.008834
GA	Tyrone town	-84.594522	33.476059
GA	Ty Ty city	-83.65026	31.471901
GA	Unadilla city	-83.735898	32.257284
GA	Union City city	-84.56263	33.593837
GA	Union Point city	-83.075036	33.618816
GA	Uvalda city	-82.507459	32.038084
GA	Valdosta city	-83.278833	30.850126
GA	Varnell city	-84.964906	34.899549
GA	Vernonburg town	-81.119493	31.966907
GA	Vidalia city	-82.40302	32.213901
GA	Vidette city	-82.247437	33.037031
GA	Vienna city	-83.786839	32.092747
GA	Villa Rica city	-84.916163	33.729906
GA	Waco city	-85.189216	33.702584
GA	Wadley city	-82.402802	32.86479
GA	Waleska city	-84.550196	34.31782
GA	Walnut Grove city	-83.849945	33.747841
GA	Walthourville city	-81.618593	31.772234
GA	Warm Springs city	-84.678642	32.88724
GA	Warner Robins city	-83.653936	32.597096
GA	Warrenton city	-82.665431	33.406073
GA	Warwick city	-83.920625	31.82979
GA	Washington city	-82.743613	33.732289
GA	Watkinsville city	-83.40757	33.861744
GA	Waverly Hall town	-84.728332	32.682889
GA	Waycross city	-82.357658	31.211006
GA	Waynesboro city	-82.01429	33.091279
GA	Webster County unified government	-84.553218	32.046554
GA	West Point city	-85.140276	32.900571
GA	Whigham city	-84.325215	30.884049
GA	White city	-84.747236	34.282401
GA	White Plains city	-83.036293	33.480341
GA	Whitesburg city	-84.9143	33.492068
GA	Willacoochee city	-83.044003	31.335094
GA	Williamson city	-84.363161	33.179581
GA	Winder city	-83.721123	33.993074
GA	Winterville city	-83.281558	33.966635
GA	Woodbine city	-81.718098	30.959855
GA	Woodbury city	-84.582015	32.985218
GA	Woodland city	-84.561221	32.788217
GA	Woodstock city	-84.516173	34.102171
GA	Woodville city	-83.106093	33.667106
GA	Woolsey town	-84.406709	33.363075
GA	Wrens city	-82.387583	33.207434
GA	Wrightsville city	-82.720136	32.726733
GA	Yatesville town	-84.142713	32.913416
GA	Young Harris city	-83.847052	34.936434
GA	Zebulon city	-84.343437	33.094165
ID	Aberdeen city	-112.838378	42.944075
ID	Acequia city	-113.595997	42.667385
ID	Albion city	-113.580012	42.409577
ID	American Falls city	-112.854229	42.782631
ID	Ammon city	-111.953922	43.476179
ID	Arco city	-113.302568	43.631893
ID	Arimo city	-112.171384	42.559453
ID	Ashton city	-111.448524	44.073389
ID	Athol city	-116.707905	47.944594
ID	Atomic City city	-112.813468	43.443931
ID	Bancroft city	-111.882605	42.720084
ID	Basalt city	-112.164975	43.314309
ID	Bellevue city	-114.254575	43.469351
ID	Blackfoot city	-112.340834	43.195457
ID	Bliss city	-114.947479	42.925444
ID	Bloomington city	-111.405677	42.191003
ID	Boise City city	-116.231084	43.598488
ID	Bonners Ferry city	-116.316832	48.692812
ID	Bovill city	-116.393216	46.858905
ID	Buhl city	-114.75992	42.598314
ID	Burley city	-113.7936	42.537431
ID	Butte City city	-113.240864	43.606984
ID	Caldwell city	-116.659336	43.64588
ID	Cambridge city	-116.678101	44.571748
ID	Carey city	-113.940792	43.310123
ID	Cascade city	-116.043627	44.508761
ID	Castleford city	-114.871747	42.520553
ID	Challis city	-114.227231	44.505154
ID	Chubbuck city	-112.469476	42.922627
ID	Clark Fork city	-116.176859	48.147191
ID	Clayton city	-114.399989	44.259123
ID	Clifton city	-112.005665	42.187504
ID	Coeur d'Alene city	-116.79253	47.703485
ID	Cottonwood city	-116.349826	46.051054
ID	Council city	-116.436838	44.733195
ID	Craigmont city	-116.471344	46.24174
ID	Crouch city	-115.972005	44.120045
ID	Culdesac city	-116.669901	46.375264
ID	Dalton Gardens city	-116.76983	47.732689
ID	Dayton city	-111.984617	42.111246
ID	Deary city	-116.557368	46.800586
ID	Declo city	-113.628832	42.519617
ID	Dietrich city	-114.266522	42.912786
ID	Donnelly city	-116.087298	44.733655
ID	Dover city	-116.601508	48.258077
ID	Downey city	-112.123502	42.428889
ID	Driggs city	-111.101658	43.728377
ID	Drummond city	-111.343376	43.999569
ID	Dubois city	-112.230273	44.17341
ID	Eagle city	-116.418307	43.757714
ID	East Hope city	-116.289649	48.239526
ID	Eden city	-114.209058	42.605307
ID	Elk River city	-116.181138	46.78307
ID	Emmett city	-116.488862	43.868242
ID	Fairfield city	-114.800923	43.348059
ID	Ferdinand city	-116.389816	46.152368
ID	Fernan Lake Village city	-116.747038	47.672661
ID	Filer city	-114.611226	42.567642
ID	Firth city	-112.184002	43.305637
ID	Franklin city	-111.803757	42.011902
ID	Fruitland city	-116.922292	44.026189
ID	Garden City city	-116.293701	43.669409
ID	Genesee city	-116.92887	46.551485
ID	Georgetown city	-111.365464	42.478472
ID	Glenns Ferry city	-115.306645	42.950202
ID	Gooding city	-114.713189	42.937056
ID	Grace city	-111.730727	42.575181
ID	Grand View city	-116.093683	42.985123
ID	Grangeville city	-116.121941	45.925832
ID	Greenleaf city	-116.821443	43.672607
ID	Hagerman city	-114.897667	42.816001
ID	Hailey city	-114.300205	43.512475
ID	Hamer city	-112.205649	43.926724
ID	Hansen city	-114.301179	42.531364
ID	Harrison city	-116.773146	47.448641
ID	Hauser city	-117.013785	47.768132
ID	Hayden city	-116.802741	47.768074
ID	Hayden Lake city	-116.756097	47.76446
ID	Hazelton city	-114.136611	42.594953
ID	Heyburn city	-113.762067	42.559982
ID	Hollister city	-114.583851	42.352906
ID	Homedale city	-116.937373	43.61529
ID	Hope city	-116.304783	48.24983
ID	Horseshoe Bend city	-116.200681	43.913574
ID	Huetter city	-116.850137	47.703542
ID	Idaho City city	-115.831237	43.828184
ID	Idaho Falls city	-112.035713	43.487517
ID	Inkom city	-112.251612	42.799813
ID	Iona city	-111.931003	43.525189
ID	Irwin city	-111.279503	43.403376
ID	Island Park city	-111.337662	44.535081
ID	Jerome city	-114.515797	42.718576
ID	Juliaetta city	-116.708069	46.574735
ID	Kamiah city	-116.028303	46.226796
ID	Kellogg city	-116.142674	47.537379
ID	Kendrick city	-116.661603	46.614253
ID	Ketchum city	-114.382687	43.692245
ID	Kimberly city	-114.369995	42.533343
ID	Kooskia city	-115.973684	46.140988
ID	Kootenai city	-116.517092	48.311939
ID	Kuna city	-116.399925	43.484941
ID	Lapwai city	-116.804223	46.403715
ID	Lava Hot Springs city	-112.010305	42.620181
ID	Leadore city	-113.358403	44.679683
ID	Lewiston city	-116.993472	46.39313
ID	Lewisville city	-112.013472	43.695262
ID	Lost River city	-113.631614	43.688775
ID	McCall city	-116.109765	44.901407
ID	McCammon city	-112.189394	42.648236
ID	Mackay city	-113.612041	43.911784
ID	Malad City city	-112.24946	42.190975
ID	Malta city	-113.369697	42.307532
ID	Marsing city	-116.810422	43.54636
ID	Melba city	-116.532283	43.373494
ID	Menan city	-111.99242	43.721679
ID	Meridian city	-116.397129	43.617852
ID	Middleton city	-116.614636	43.712553
ID	Midvale city	-116.741253	44.461454
ID	Minidoka city	-113.489955	42.75397
ID	Montpelier city	-111.298756	42.32602
ID	Moore city	-113.367234	43.734404
ID	Moscow city	-116.998909	46.730609
ID	Mountain Home city	-115.696743	43.133037
ID	Moyie Springs city	-116.195345	48.724882
ID	Mud Lake city	-112.482395	43.841818
ID	Mullan city	-115.796309	47.468802
ID	Murtaugh city	-114.161526	42.491836
ID	Nampa city	-116.563875	43.582381
ID	Newdale city	-111.604533	43.886474
ID	New Meadows city	-116.285185	44.970354
ID	New Plymouth city	-116.818815	43.970528
ID	Nezperce city	-116.239733	46.233465
ID	Notus city	-116.800429	43.726859
ID	Oakley city	-113.883058	42.24206
ID	Oldtown city	-117.021796	48.184323
ID	Onaway city	-116.889461	46.928216
ID	Orofino city	-116.258123	46.487267
ID	Osburn city	-116.000596	47.505845
ID	Oxford city	-112.018174	42.260019
ID	Paris city	-111.402424	42.227979
ID	Parker city	-111.759206	43.958405
ID	Parma city	-116.942491	43.786284
ID	Paul city	-113.784473	42.605504
ID	Payette city	-116.926852	44.080093
ID	Peck city	-116.42582	46.474428
ID	Pierce city	-115.799572	46.493008
ID	Pinehurst city	-116.231746	47.536314
ID	Placerville city	-115.945604	43.942981
ID	Plummer city	-116.884978	47.329719
ID	Pocatello city	-112.465573	42.871588
ID	Ponderay city	-116.539717	48.311788
ID	Post Falls city	-116.938803	47.720184
ID	Potlatch city	-116.897068	46.922992
ID	Preston city	-111.878396	42.098858
ID	Priest River city	-116.882676	48.182948
ID	Rathdrum city	-116.891387	47.799425
ID	Reubens city	-116.541553	46.321944
ID	Rexburg city	-111.790988	43.822893
ID	Richfield city	-114.155818	43.052448
ID	Rigby city	-111.912357	43.673512
ID	Riggins city	-116.31978	45.418367
ID	Ririe city	-111.772023	43.632276
ID	Roberts city	-112.128859	43.721029
ID	Rockland city	-112.87475	42.573356
ID	Rupert city	-113.673956	42.618947
